gvkey,tic,conm
061567,EL,ESTEE LAUDER COMPANIES INC
020228,CTLT,CATALENT INC
012141,MSFT,MICROSOFT CORP
006565,LRCX,LAM RESEARCH CORP
001891,ADP,AUTOMATIC DATA PROCESSING
012142,ORCL,ORACLE CORP
008402,PAYX,PAYCHEX INC
031846,DRI,DARDEN RESTAURANTS INC
007906,NKE,NIKE INC  -CL B
005071,GIS,GENERAL MILLS INC
028790,LW,LAMB WESTON HOLDINGS INC
003062,CTAS,CINTAS CORP
003362,CAG,CONAGRA BRANDS INC
004598,FDX,FEDEX CORP
007228,MDT,MEDTRONIC PLC
002435,BF.B,BROWN FORMAN CORP
061591,NTAP,NETAPP INC
009777,SJM,SMUCKER (JM) CO
007171,MCK,MCKESSON CORP
025313,STE,STERIS PLC
064891,RL,RALPH LAUREN CORP
064630,TTWO,TAKE-TWO INTERACTIVE SFTWR
015855,NLOK,NORTONLIFELOCK INC
022325,XLNX,XILINX INC
064853,QRVO,QORVO INC
013619,ABMD,ABIOMED INC
016721,EA,ELECTRONIC ARTS INC
003336,DXC,DXC TECHNOLOGY CO
027965,MCHP,MICROCHIP TECHNOLOGY INC
011060,VFC,VF CORP
064410,KMX,CARMAX INC
002710,STZ,CONSTELLATION BRANDS
178704,ULTA,ULTA BEAUTY INC
006502,KR,KROGER CO
005680,HD,HOME DEPOT INC
006733,BBWI,BATH & BODY WORKS INC
004990,GPS,GAP INC
004016,DG,DOLLAR GENERAL CORP
117768,NVDA,NVIDIA CORP
011672,TJX,TJX COS INC (THE)
008551,PVH,PVH CORP
001878,ADSK,AUTODESK INC
031587,DLTR,DOLLAR TREE INC
009248,ROST,ROSS STORES INC
006829,LOW,LOWE'S COS INC
011259,WMT,WALMART INC
157855,CRM,SALESFORCE INC
003813,TGT,TARGET CORP
002184,BBY,BEST BUY CO INC
